lipids	converted_lipid_name
ASG 27:1;O;Hex;FA 18:1	ASG 27:1(O)(Hex;FA 18:1)
BMP 36:4|BMP 18:2_18:2	BMP 36:4(m)|BMP 18:2_18:2(m2)
BMP 38:6|BMP 18:2_20:4	BMP 38:6(m)|BMP 18:2_20:4(m2)
BMP 40:8|BMP 18:2_22:6	BMP 40:8(m)|BMP 18:2_22:6(m2)
BMP 42:10|BMP 20:4_22:6	BMP 42:10(m)|BMP 20:4_22:6(m2)
BMP 44:11|BMP 22:5_22:6	BMP 44:11(m)|BMP 22:5_22:6(m2)
BMP 44:12|BMP 22:6_22:6	BMP 44:12(m)|BMP 22:6_22:6(m2)
CAR 10:0	CAR 10:0
CAR 11:0	CAR 11:0
CAR 12:0	CAR 12:0
CAR 14:0	CAR 14:0
CAR 14:1	CAR 14:1
CAR 15:0	CAR 15:0
CAR 16:0	CAR 16:0
CAR 16:1	CAR 16:1
CAR 16:2	CAR 16:2
CAR 17:0	CAR 17:0
CAR 17:1	CAR 17:1
CAR 18:0	CAR 18:0
CAR 18:1	CAR 18:1
CAR 18:2	CAR 18:2
CAR 18:3	CAR 18:3
CAR 19:0	CAR 19:0
CAR 19:1	CAR 19:1
CAR 19:4	CAR 19:4
CAR 20:0	CAR 20:0
CAR 20:1	CAR 20:1
CAR 20:2	CAR 20:2
CAR 20:3	CAR 20:3
CAR 20:4	CAR 20:4
CAR 20:5	CAR 20:5
CAR 22:1	CAR 22:1
CAR 22:4	CAR 22:4
CAR 22:5	CAR 22:5
CAR 22:6	CAR 22:6
CAR 4:0	CAR 4:0
CE 15:2	CE 15:2
CL 66:2|CL 16:0_16:1_16:0_18:1	CL 66:2(m)|CL 16:0_16:1_16:0_18:1(m2)
CL 66:3|CL 16:0_16:1_16:1_18:1	CL 66:3(m)|CL 16:0_16:1_16:1_18:1(m2)
CL 66:4|CL 16:1_16:1_16:1_18:1	CL 66:4(m)|CL 16:1_16:1_16:1_18:1(m2)
CL 66:5|CL 16:1_16:1_16:1_18:2	CL 66:5(m)|CL 16:1_16:1_16:1_18:2(m2)
CL 68:2|CL 16:0_18:1_16:0_18:1	CL 68:2(m)|CL 16:0_18:1_16:0_18:1(m2)
CL 68:3|CL 16:0_18:1_16:1_18:1	CL 68:3(m)|CL 16:0_18:1_16:1_18:1(m2)
CL 68:3|CL 34:1_34:2	CL 68:3(m)|CL 34:1_34:2(m2)
CL 68:4|CL 16:0_18:2_16:0_18:2	CL 68:4(m)|CL 16:0_18:2_16:0_18:2(m2)
CL 68:4|CL 32:1_36:3	CL 68:4(m)|CL 32:1_36:3(m2)
CL 68:5|CL 16:1_16:1_18:1_18:2	CL 68:5(m)|CL 16:1_16:1_18:1_18:2(m2)
CL 68:5|CL 32:2_36:3	CL 68:5(m)|CL 32:2_36:3(m2)
CL 68:6|CL 16:1_18:2_16:1_18:2	CL 68:6(m)|CL 16:1_18:2_16:1_18:2(m2)
CL 68:6|CL 32:2_36:4	CL 68:6(m)|CL 32:2_36:4(m2)
CL 70:3|CL 16:0_18:1_18:1_18:1	CL 70:3(m)|CL 16:0_18:1_18:1_18:1(m2)
CL 70:4|CL 16:0_18:1_18:1_18:2	CL 70:4(m)|CL 16:0_18:1_18:1_18:2(m2)
CL 70:4|CL 34:1_36:3	CL 70:4(m)|CL 34:1_36:3(m2)
CL 70:5|CL 16:1_18:1_18:1_18:2	CL 70:5(m)|CL 16:1_18:1_18:1_18:2(m2)
CL 70:5|CL 34:2_36:3	CL 70:5(m)|CL 34:2_36:3(m2)
CL 70:6|CL 16:1_18:2_18:1_18:2	CL 70:6(m)|CL 16:1_18:2_18:1_18:2(m2)
CL 70:6|CL 34:3_36:3	CL 70:6(m)|CL 34:3_36:3(m2)
CL 70:7|CL 16:1_18:2_18:2_18:2	CL 70:7(m)|CL 16:1_18:2_18:2_18:2(m2)
CL 70:7|CL 34:3_36:4	CL 70:7(m)|CL 34:3_36:4(m2)
CL 70:8|CL 16:1_18:3_18:2_18:2	CL 70:8(m)|CL 16:1_18:3_18:2_18:2(m2)
