lipids	converted_lipid_name
BA 24:1;O2;T	BA 24:1(O2)(T)
BA 24:1;O3;T	BA 24:1(O3)(T)
BA 24:1;O4;T	BA 24:1(O4)(T)
BA 24:1;O5;G;S	BA 24:1(O5)(G;S)
BMP 36:4|BMP 18:2_18:2	BMP 36:4(x)|BMP 18:2_18:2(x2)
BMP 38:5|BMP 18:1_20:4	BMP 38:5(x)|BMP 18:1_20:4(x2)
BMP 38:5|BMP 18:2_20:3	BMP 38:5(x)|BMP 18:2_20:3(x2)
BMP 38:6|BMP 18:2_20:4	BMP 38:6(x)|BMP 18:2_20:4(x2)
BMP 38:7|BMP 18:2_20:5	BMP 38:7(x)|BMP 18:2_20:5(x2)
BMP 40:7|BMP 18:1_22:6	BMP 40:7(x)|BMP 18:1_22:6(x2)
BMP 40:8|BMP 18:2_22:6	BMP 40:8(x)|BMP 18:2_22:6(x2)
BMP 40:9|BMP 18:3_22:6	BMP 40:9(x)|BMP 18:3_22:6(x2)
BMP 42:10|BMP 20:4_22:6	BMP 42:10(x)|BMP 20:4_22:6(x2)
BMP 42:11|BMP 20:5_22:6	BMP 42:11(x)|BMP 20:5_22:6(x2)
BMP 42:8|BMP 20:4_22:4	BMP 42:8(x)|BMP 20:4_22:4(x2)
BMP 42:9|BMP 20:3_22:6	BMP 42:9(x)|BMP 20:3_22:6(x2)
BMP 42:9|BMP 20:4_22:5	BMP 42:9(x)|BMP 20:4_22:5(x2)
BMP 44:10|BMP 22:4_22:6	BMP 44:10(x)|BMP 22:4_22:6(x2)
BMP 44:11|BMP 22:5_22:6	BMP 44:11(x)|BMP 22:5_22:6(x2)
BMP 44:12|BMP 22:6_22:6	BMP 44:12(x)|BMP 22:6_22:6(x2)
CAR 10:0	CAR 10:0
CAR 12:0	CAR 12:0
CAR 14:0	CAR 14:0
CAR 14:1	CAR 14:1
CAR 15:0	CAR 15:0
CAR 15:1	CAR 15:1
CAR 16:0	CAR 16:0
CAR 16:1	CAR 16:1
CAR 16:2	CAR 16:2
CAR 17:0	CAR 17:0
CAR 17:1	CAR 17:1
CAR 18:0	CAR 18:0
CAR 18:1	CAR 18:1
CAR 18:2	CAR 18:2
CAR 18:3	CAR 18:3
CAR 19:0	CAR 19:0
CAR 19:4	CAR 19:4
CAR 20:0	CAR 20:0
CAR 20:1	CAR 20:1
CAR 20:2	CAR 20:2
CAR 20:3	CAR 20:3
CAR 20:4	CAR 20:4
CAR 20:5	CAR 20:5
CAR 22:0	CAR 22:0
CAR 22:1	CAR 22:1
CAR 22:2	CAR 22:2
CAR 22:4	CAR 22:4
CAR 22:5	CAR 22:5
CAR 22:6	CAR 22:6
CAR 24:0	CAR 24:0
CAR 24:1	CAR 24:1
CAR 4:0	CAR 4:0
CAR 5:0	CAR 5:0
CAR 6:0	CAR 6:0
CE 18:2	CE 18:2
CE 20:4	CE 20:4
CE 20:5	CE 20:5
CE 22:6	CE 22:6
CL 66:2|CL 16:0_16:1_16:0_18:1	CL 66:2(x)|CL 16:0_16:1_16:0_18:1(x2)
CL 66:3|CL 16:0_16:1_16:0_18:2	CL 66:3(x)|CL 16:0_16:1_16:0_18:2(x2)
CL 66:4|CL 14:0_18:2_16:0_18:2	CL 66:4(x)|CL 14:0_18:2_16:0_18:2(x2)
CL 68:2|CL 34:1_34:1	CL 68:2(x)|CL 34:1_34:1(x2)
CL 68:3|CL 16:0_18:1_16:0_18:2	CL 68:3(x)|CL 16:0_18:1_16:0_18:2(x2)
CL 68:4|CL 16:0_18:2_16:0_18:2	CL 68:4(x)|CL 16:0_18:2_16:0_18:2(x2)
CL 68:4|CL 32:1_36:3	CL 68:4(x)|CL 32:1_36:3(x2)
CL 68:5|CL 14:0_18:2_18:1_18:2	CL 68:5(x)|CL 14:0_18:2_18:1_18:2(x2)
CL 68:5|CL 32:2_36:3	CL 68:5(x)|CL 32:2_36:3(x2)
CL 68:6|CL 14:0_18:2_18:2_18:2	CL 68:6(x)|CL 14:0_18:2_18:2_18:2(x2)
CL 68:6|CL 32:2_36:4	CL 68:6(x)|CL 32:2_36:4(x2)
CL 68:7|CL 14:0_18:3_18:2_18:2	CL 68:7(x)|CL 14:0_18:3_18:2_18:2(x2)
CL 69:5|CL 15:0_18:2_18:1_18:2	CL 69:5(x)|CL 15:0_18:2_18:1_18:2(x2)
CL 69:6|CL 15:0_18:2_18:2_18:2	CL 69:6(x)|CL 15:0_18:2_18:2_18:2(x2)
CL 70:4|CL 16:0_18:1_18:1_18:2	CL 70:4(x)|CL 16:0_18:1_18:1_18:2(x2)
CL 70:4|CL 34:1_36:3	CL 70:4(x)|CL 34:1_36:3(x2)
CL 70:5|CL 16:0_18:1_18:2_18:2	CL 70:5(x)|CL 16:0_18:1_18:2_18:2(x2)
CL 70:5|CL 16:0_18:2_18:1_18:2	CL 70:5(x)|CL 16:0_18:2_18:1_18:2(x2)
CL 70:5|CL 34:2_36:3	CL 70:5(x)|CL 34:2_36:3(x2)
CL 70:6|CL 16:0_18:2_18:2_18:2	CL 70:6(x)|CL 16:0_18:2_18:2_18:2(x2)
CL 70:6|CL 34:2_36:4	CL 70:6(x)|CL 34:2_36:4(x2)
CL 70:6|CL 34:3_36:3	CL 70:6(x)|CL 34:3_36:3(x2)
CL 70:7|CL 16:1_18:2_18:2_18:2	CL 70:7(x)|CL 16:1_18:2_18:2_18:2(x2)
CL 70:7|CL 34:3_36:4	CL 70:7(x)|CL 34:3_36:4(x2)
CL 70:8|CL 16:2_18:2_18:2_18:2	CL 70:8(x)|CL 16:2_18:2_18:2_18:2(x2)
CL 70:8|CL 34:4_36:4	CL 70:8(x)|CL 34:4_36:4(x2)
CL 71:1|CL 18:0_18:0_18:0_17:1	CL 71:1(x)|CL 18:0_18:0_18:0_17:1(x2)
CL 71:5|CL 17:1_18:1_18:1_18:2	CL 71:5(x)|CL 17:1_18:1_18:1_18:2(x2)
CL 71:6|CL 17:1_18:2_18:1_18:2	CL 71:6(x)|CL 17:1_18:2_18:1_18:2(x2)
CL 71:7|CL 17:1_18:2_18:2_18:2	CL 71:7(x)|CL 17:1_18:2_18:2_18:2(x2)
CL 71:7|CL 34:1_37:6	CL 71:7(x)|CL 34:1_37:6(x2)
CL 71:7|CL 35:3_36:4	CL 71:7(x)|CL 35:3_36:4(x2)
CL 71:8|CL 34:2_37:6	CL 71:8(x)|CL 34:2_37:6(x2)
CL 72:10|CL 32:2_40:8	CL 72:10(x)|CL 32:2_40:8(x2)
CL 72:4|CL 34:0_38:4	CL 72:4(x)|CL 34:0_38:4(x2)
CL 72:5|CL 18:1_18:1_18:1_18:2	CL 72:5(x)|CL 18:1_18:1_18:1_18:2(x2)
CL 72:5|CL 36:2_36:3	CL 72:5(x)|CL 36:2_36:3(x2)
CL 72:6|CL 18:1_18:1_18:2_18:2	CL 72:6(x)|CL 18:1_18:1_18:2_18:2(x2)
CL 72:6|CL 18:1_18:2_18:1_18:2	CL 72:6(x)|CL 18:1_18:2_18:1_18:2(x2)
CL 72:6|CL 36:2_36:4	CL 72:6(x)|CL 36:2_36:4(x2)
CL 72:7|CL 18:1_18:2_18:2_18:2	CL 72:7(x)|CL 18:1_18:2_18:2_18:2(x2)
CL 72:7|CL 36:3_36:4	CL 72:7(x)|CL 36:3_36:4(x2)
CL 72:8|CL 18:2_18:2_18:2_18:2	CL 72:8(x)|CL 18:2_18:2_18:2_18:2(x2)
CL 72:8|CL 36:3_36:5	CL 72:8(x)|CL 36:3_36:5(x2)
CL 72:9|CL 18:2_18:2_18:2_18:3	CL 72:9(x)|CL 18:2_18:2_18:2_18:3(x2)
CL 72:9|CL 36:4_36:5	CL 72:9(x)|CL 36:4_36:5(x2)
CL 73:10|CL 36:4_37:6	CL 73:10(x)|CL 36:4_37:6(x2)
CL 73:6|CL 36:3_37:3	CL 73:6(x)|CL 36:3_37:3(x2)
CL 73:7|CL 17:1_18:2_18:1_20:3	CL 73:7(x)|CL 17:1_18:2_18:1_20:3(x2)
CL 73:7|CL 37:3_36:4	CL 73:7(x)|CL 37:3_36:4(x2)
CL 73:8|CL 15:0_18:2_18:0_22:6	CL 73:8(x)|CL 15:0_18:2_18:0_22:6(x2)
CL 73:8|CL 36:4_37:4	CL 73:8(x)|CL 36:4_37:4(x2)
CL 73:9|CL 36:3_37:6	CL 73:9(x)|CL 36:3_37:6(x2)
CL 74:10|CL 18:2_18:2_18:2_20:4	CL 74:10(x)|CL 18:2_18:2_18:2_20:4(x2)
CL 74:10|CL 36:4_38:6	CL 74:10(x)|CL 36:4_38:6(x2)
CL 74:11|CL 16:1_18:2_20:4_20:4	CL 74:11(x)|CL 16:1_18:2_20:4_20:4(x2)
CL 74:11|CL 34:3_40:8	CL 74:11(x)|CL 34:3_40:8(x2)
CL 74:4|CL 37:0_37:4	CL 74:4(x)|CL 37:0_37:4(x2)
CL 74:5|CL 34:0_40:5	CL 74:5(x)|CL 34:0_40:5(x2)
CL 74:6|CL 18:1_18:1_18:1_20:3	CL 74:6(x)|CL 18:1_18:1_18:1_20:3(x2)
CL 74:6|CL 33:2_41:4	CL 74:6(x)|CL 33:2_41:4(x2)
CL 74:6|CL 36:3_38:3	CL 74:6(x)|CL 36:3_38:3(x2)
CL 74:7|CL 18:1_18:1_18:1_20:4	CL 74:7(x)|CL 18:1_18:1_18:1_20:4(x2)
CL 74:7|CL 18:1_18:2_18:1_20:3	CL 74:7(x)|CL 18:1_18:2_18:1_20:3(x2)
CL 74:7|CL 36:3_38:4	CL 74:7(x)|CL 36:3_38:4(x2)
CL 74:7|CL 39:3_35:4	CL 74:7(x)|CL 39:3_35:4(x2)
CL 74:8|CL 18:1_18:2_18:2_20:3	CL 74:8(x)|CL 18:1_18:2_18:2_20:3(x2)
CL 74:8|CL 36:4_38:4	CL 74:8(x)|CL 36:4_38:4(x2)
CL 74:9|CL 18:1_18:2_18:2_20:4	CL 74:9(x)|CL 18:1_18:2_18:2_20:4(x2)
CL 74:9|CL 18:2_18:2_18:2_20:3	CL 74:9(x)|CL 18:2_18:2_18:2_20:3(x2)
CL 74:9|CL 36:3_38:6	CL 74:9(x)|CL 36:3_38:6(x2)
CL 74:9|CL 36:4_38:5	CL 74:9(x)|CL 36:4_38:5(x2)
CL 75:13	CL 75:13
CL 75:6|CL 17:0_18:0_18:0_22:6	CL 75:6(x)|CL 17:0_18:0_18:0_22:6(x2)
CL 75:8|CL 17:0_18:1_18:1_22:6	CL 75:8(x)|CL 17:0_18:1_18:1_22:6(x2)
CL 75:9|CL 18:0_22:6_17:1_18:2	CL 75:9(x)|CL 18:0_22:6_17:1_18:2(x2)
CL 76:10|CL 18:1_18:2_18:2_22:5	CL 76:10(x)|CL 18:1_18:2_18:2_22:5(x2)
CL 76:10|CL 18:2_20:3_18:2_20:3	CL 76:10(x)|CL 18:2_20:3_18:2_20:3(x2)
CL 76:10|CL 36:3_40:7	CL 76:10(x)|CL 36:3_40:7(x2)
CL 76:10|CL 38:4_38:6	CL 76:10(x)|CL 38:4_38:6(x2)
CL 76:11|CL 18:1_18:2_18:2_22:6	CL 76:11(x)|CL 18:1_18:2_18:2_22:6(x2)
CL 76:11|CL 36:3_40:8	CL 76:11(x)|CL 36:3_40:8(x2)
CL 76:12|CL 18:2_18:2_18:2_22:6	CL 76:12(x)|CL 18:2_18:2_18:2_22:6(x2)
CL 76:12|CL 36:4_40:8	CL 76:12(x)|CL 36:4_40:8(x2)
CL 76:13|CL 36:5_40:8	CL 76:13(x)|CL 36:5_40:8(x2)
CL 76:4|CL 34:0_42:4	CL 76:4(x)|CL 34:0_42:4(x2)
CL 76:4|CL 36:0_40:4	CL 76:4(x)|CL 36:0_40:4(x2)
CL 76:6|CL 18:0_18:1_18:0_22:5	CL 76:6(x)|CL 18:0_18:1_18:0_22:5(x2)
CL 76:7|CL 18:0_20:3_18:1_20:3	CL 76:7(x)|CL 18:0_20:3_18:1_20:3(x2)
CL 76:8|CL 18:1_20:3_18:1_20:3	CL 76:8(x)|CL 18:1_20:3_18:1_20:3(x2)
CL 76:8|CL 37:0_39:8	CL 76:8(x)|CL 37:0_39:8(x2)
CL 76:8|CL 38:3_38:5	CL 76:8(x)|CL 38:3_38:5(x2)
CL 76:8|CL 39:3_37:5	CL 76:8(x)|CL 39:3_37:5(x2)
CL 76:9|CL 18:1_20:3_18:2_20:3	CL 76:9(x)|CL 18:1_20:3_18:2_20:3(x2)
CL 76:9|CL 38:4_38:5	CL 76:9(x)|CL 38:4_38:5(x2)
CL 77:10	CL 77:10
CL 77:10|CL 35:3_42:7	CL 77:10(x)|CL 35:3_42:7(x2)
CL 77:11|CL 18:0_22:6_17:1_20:4	CL 77:11(x)|CL 18:0_22:6_17:1_20:4(x2)
CL 77:6|CL 38:3_39:3	CL 77:6(x)|CL 38:3_39:3(x2)
CL 77:7	CL 77:7
CL 77:7|CL 35:0_42:7	CL 77:7(x)|CL 35:0_42:7(x2)
CL 77:8	CL 77:8
CL 78:11|CL 18:1_20:3_20:3_20:4	CL 78:11(x)|CL 18:1_20:3_20:3_20:4(x2)
CL 78:11|CL 38:3_40:8	CL 78:11(x)|CL 38:3_40:8(x2)
CL 78:12|CL 16:0_18:1_22:5_22:6	CL 78:12(x)|CL 16:0_18:1_22:5_22:6(x2)
CL 78:12|CL 18:1_20:3_18:2_22:6	CL 78:12(x)|CL 18:1_20:3_18:2_22:6(x2)
CL 78:12|CL 38:4_40:8	CL 78:12(x)|CL 38:4_40:8(x2)
CL 78:13|CL 18:2_20:3_18:2_22:6	CL 78:13(x)|CL 18:2_20:3_18:2_22:6(x2)
CL 78:13|CL 38:5_40:8	CL 78:13(x)|CL 38:5_40:8(x2)
CL 78:14|CL 18:2_20:4_20:4_20:4	CL 78:14(x)|CL 18:2_20:4_20:4_20:4(x2)
CL 78:14|CL 38:6_40:8	CL 78:14(x)|CL 38:6_40:8(x2)
CL 78:3|CL 18:0_24:0_18:1_18:2	CL 78:3(x)|CL 18:0_24:0_18:1_18:2(x2)
CL 78:8|CL 18:0_18:0_20:3_22:5	CL 78:8(x)|CL 18:0_18:0_20:3_22:5(x2)
CL 79:10|CL 37:4_42:6	CL 79:10(x)|CL 37:4_42:6(x2)
CL 79:12|CL 17:0_22:6_18:0_22:6	CL 79:12(x)|CL 17:0_22:6_18:0_22:6(x2)
CL 79:6|CL 36:0_43:6	CL 79:6(x)|CL 36:0_43:6(x2)
CL 79:7|CL 38:3_41:4	CL 79:7(x)|CL 38:3_41:4(x2)
CL 80:10|CL 36:1_44:9	CL 80:10(x)|CL 36:1_44:9(x2)
CL 80:10|CL 38:4_42:6	CL 80:10(x)|CL 38:4_42:6(x2)
CL 80:13|CL 18:0_20:4_20:4_22:5	CL 80:13(x)|CL 18:0_20:4_20:4_22:5(x2)
CL 80:15|CL 18:1_22:6_18:2_22:6	CL 80:15(x)|CL 18:1_22:6_18:2_22:6(x2)
CL 80:15|CL 40:7_40:8	CL 80:15(x)|CL 40:7_40:8(x2)
CL 80:16|CL 18:2_22:6_18:2_22:6	CL 80:16(x)|CL 18:2_22:6_18:2_22:6(x2)
CL 80:16|CL 36:4_44:12	CL 80:16(x)|CL 36:4_44:12(x2)
CL 80:1|CL 18:0_18:1_18:0_26:0	CL 80:1(x)|CL 18:0_18:1_18:0_26:0(x2)
CL 80:4|CL 18:0_20:4_18:0_24:0	CL 80:4(x)|CL 18:0_20:4_18:0_24:0(x2)
CL 80:6|CL 36:1_44:5	CL 80:6(x)|CL 36:1_44:5(x2)
CL 80:6|CL 40:0_40:6	CL 80:6(x)|CL 40:0_40:6(x2)
CL 80:8|CL 36:2_44:6	CL 80:8(x)|CL 36:2_44:6(x2)
CL 81:6|CL 43:2_38:4	CL 81:6(x)|CL 43:2_38:4(x2)
CL 82:11|CL 39:5_43:6	CL 82:11(x)|CL 39:5_43:6(x2)
CL 82:14|CL 18:0_22:6_20:3_22:5	CL 82:14(x)|CL 18:0_22:6_20:3_22:5(x2)
CL 82:14|CL 38:4_44:10	CL 82:14(x)|CL 38:4_44:10(x2)
CL 82:15|CL 18:0_20:3_22:6_22:6	CL 82:15(x)|CL 18:0_20:3_22:6_22:6(x2)
CL 82:15|CL 38:4_44:11	CL 82:15(x)|CL 38:4_44:11(x2)
CL 82:3|CL 36:1_46:2	CL 82:3(x)|CL 36:1_46:2(x2)
CL 82:5|CL 41:1_41:4	CL 82:5(x)|CL 41:1_41:4(x2)
CL 82:5|CL 44:1_38:4	CL 82:5(x)|CL 44:1_38:4(x2)
CL 82:6|CL 44:2_38:4	CL 82:6(x)|CL 44:2_38:4(x2)
CL 82:8|CL 18:0_24:0_20:4_20:4	CL 82:8(x)|CL 18:0_24:0_20:4_20:4(x2)
CL 82:9|CL 41:3_41:6	CL 82:9(x)|CL 41:3_41:6(x2)
CL 85:9|CL 15:0_28:0_20:3_22:6	CL 85:9(x)|CL 15:0_28:0_20:3_22:6(x2)
CL 86:9|CL 28:0_18:2_18:2_22:5	CL 86:9(x)|CL 28:0_18:2_18:2_22:5(x2)
CL 88:13|CL 26:0_18:1_22:6_22:6	CL 88:13(x)|CL 26:0_18:1_22:6_22:6(x2)
CL 93:2|CL 24:0_24:0_24:0_21:2	CL 93:2(x)|CL 24:0_24:0_24:0_21:2(x2)
Cer 34:1;O2|Cer 18:1;O2/16:0	Cer 34:1(O2)|Cer 18:1(O2/16:0)
Cer 34:2;O2|Cer 18:2;O2/16:0	Cer 34:2(O2)|Cer 18:2(O2/16:0)
Cer 38:1;O2|Cer 18:1;O2/20:0	Cer 38:1(O2)|Cer 18:1(O2/20:0)
Cer 39:2;O2|Cer 18:1;O2/21:1	Cer 39:2(O2)|Cer 18:1(O2/21:1)
Cer 40:1;O2|Cer 18:1;O2/22:0	Cer 40:1(O2)|Cer 18:1(O2/22:0)
Cer 40:2;O2|Cer 18:2;O2/22:0	Cer 40:2(O2)|Cer 18:2(O2/22:0)
Cer 40:3;O2|Cer 29:3;O2/11:0	Cer 40:3(O2)|Cer 29:3(O2/11:0)
Cer 41:1;O2|Cer 18:1;O2/23:0	Cer 41:1(O2)|Cer 18:1(O2/23:0)
Cer 41:2;O2|Cer 18:2;O2/23:0	Cer 41:2(O2)|Cer 18:2(O2/23:0)
Cer 42:1;O2|Cer 18:1;O2/24:0	Cer 42:1(O2)|Cer 18:1(O2/24:0)
Cer 42:1;O3|Cer 18:1;O2/24:0;O	Cer 42:1(O3)|Cer 18:1(O2/24:0;O)
Cer 42:2;O2|Cer 18:1;O2/24:1	Cer 42:2(O2)|Cer 18:1(O2/24:1)
Cer 42:2;O2|Cer 18:2;O2/24:0	Cer 42:2(O2)|Cer 18:2(O2/24:0)
Cer 42:3;O2|Cer 18:2;O2/24:1	Cer 42:3(O2)|Cer 18:2(O2/24:1)
Cer 42:4;O2|Cer 18:2;O2/24:2	Cer 42:4(O2)|Cer 18:2(O2/24:2)
Cer 43:2;O2|Cer 18:2;O2/25:0	Cer 43:2(O2)|Cer 18:2(O2/25:0)
Cer 44:2;O2|Cer 18:2;O2/26:0	Cer 44:2(O2)|Cer 18:2(O2/26:0)
Cer 46:4;O2|Cer 18:1;O2/28:3	Cer 46:4(O2)|Cer 18:1(O2/28:3)
Cer 46:7;O3|Cer 18:2;O2/28:5;O	Cer 46:7(O3)|Cer 18:2(O2/28:5;O)
Cer 46:8;O3|Cer 18:2;O2/28:6;O	Cer 46:8(O3)|Cer 18:2(O2/28:6;O)
Cer 47:8;O4|Cer 29:6;O3(FA 18:1)	Cer 47:8(O4)|Cer 29:6(O3(FA 18:1))
Cer 51:5;O2|Cer 25:0;O2/26:5	Cer 51:5(O2)|Cer 25:0(O2/26:5)
Cer 57:12;O4|Cer 37:7;O3(FA 20:4)	Cer 57:12(O4)|Cer 37:7(O3(FA 20:4))
Cer 58:14;O4|Cer 38:9;O3(FA 20:4)	Cer 58:14(O4)|Cer 38:9(O3(FA 20:4))
CerP 49:7;O2	CerP 49:7(O2)
DG 18:0|DG 9:0_9:0	DG 18:0(x)|DG 9:0_9:0(x2)
DG 23:4	DG 23:4
DG 24:3	DG 24:3
DG 25:1	DG 25:1
DG 25:3	DG 25:3
DG 26:1	DG 26:1
DG 26:5	DG 26:5
DG 27:1	DG 27:1
DG 28:2	DG 28:2
DG 28:3	DG 28:3
DG 30:0|DG 14:0_16:0	DG 30:0(x)|DG 14:0_16:0(x2)
DG 30:3	DG 30:3
DG 31:3	DG 31:3
DG 32:0	DG 32:0
DG 32:0|DG 16:0_16:0	DG 32:0(x)|DG 16:0_16:0(x2)
DG 32:1	DG 32:1
DG 32:1|DG 16:0_16:1	DG 32:1(x)|DG 16:0_16:1(x2)
DG 32:2|DG 16:1_16:1	DG 32:2(x)|DG 16:1_16:1(x2)
DG 32:3	DG 32:3
DG 33:1(d7)|DG 15:0_18:1(d7)	DG 33:1(d7)|DG 15:0_18:1(d7)
DG 33:3	DG 33:3
DG 34:0	DG 34:0
DG 34:0|DG 16:0_18:0	DG 34:0(x)|DG 16:0_18:0(x2)
DG 34:1|DG 16:0_18:1	DG 34:1(x)|DG 16:0_18:1(x2)
DG 34:2	DG 34:2
DG 34:2|DG 16:0_18:2	DG 34:2(x)|DG 16:0_18:2(x2)
DG 34:3|DG 16:1_18:2	DG 34:3(x)|DG 16:1_18:2(x2)
DG 36:0	DG 36:0
DG 36:0|DG 18:0_18:0	DG 36:0(x)|DG 18:0_18:0(x2)
DG 36:1	DG 36:1
