lipids	converted_lipid_name
ASG 28:2;O;Hex;FA 25:0	ASG 28:2(O)(Hex;FA 25:0)
ASG 29:1;O;Hex;FA 16:4	ASG 29:1(O)(Hex;FA 16:4)
BA 24:1;O3;T	BA 24:1(O3)(T)
BA 24:1;O4;T	BA 24:1(O4)(T)
BA 24:1;O5;T;S	BA 24:1(O5)(T;S)
BMP 30:2|BMP 15:1_15:1	BMP 30:2(x)|BMP 15:1_15:1(x2)
BMP 36:2|BMP 18:1_18:1	BMP 36:2(x)|BMP 18:1_18:1(x2)
BMP 36:3|BMP 18:1_18:2	BMP 36:3(x)|BMP 18:1_18:2(x2)
BMP 36:4|BMP 18:2_18:2	BMP 36:4(x)|BMP 18:2_18:2(x2)
BMP 38:5|BMP 18:1_20:4	BMP 38:5(x)|BMP 18:1_20:4(x2)
BMP 38:6|BMP 18:2_20:4	BMP 38:6(x)|BMP 18:2_20:4(x2)
BMP 38:7|BMP 16:1_22:6	BMP 38:7(x)|BMP 16:1_22:6(x2)
BMP 38:7|BMP 18:2_20:5	BMP 38:7(x)|BMP 18:2_20:5(x2)
BMP 40:5|BMP 18:1_22:4	BMP 40:5(x)|BMP 18:1_22:4(x2)
BMP 40:6|BMP 18:1_22:5	BMP 40:6(x)|BMP 18:1_22:5(x2)
BMP 40:7|BMP 18:1_22:6	BMP 40:7(x)|BMP 18:1_22:6(x2)
BMP 40:7|BMP 18:2_22:5	BMP 40:7(x)|BMP 18:2_22:5(x2)
BMP 40:8|BMP 18:2_22:6	BMP 40:8(x)|BMP 18:2_22:6(x2)
BMP 40:9|BMP 18:3_22:6	BMP 40:9(x)|BMP 18:3_22:6(x2)
BMP 42:10|BMP 20:4_22:6	BMP 42:10(x)|BMP 20:4_22:6(x2)
BMP 42:8|BMP 20:2_22:6	BMP 42:8(x)|BMP 20:2_22:6(x2)
BMP 42:9|BMP 20:3_22:6	BMP 42:9(x)|BMP 20:3_22:6(x2)
BMP 42:9|BMP 20:4_22:5	BMP 42:9(x)|BMP 20:4_22:5(x2)
BMP 44:10|BMP 22:4_22:6	BMP 44:10(x)|BMP 22:4_22:6(x2)
BMP 44:11|BMP 22:5_22:6	BMP 44:11(x)|BMP 22:5_22:6(x2)
BMP 44:12|BMP 22:6_22:6	BMP 44:12(x)|BMP 22:6_22:6(x2)
CAR 10:0	CAR 10:0
CAR 11:0	CAR 11:0
CAR 12:0	CAR 12:0
CAR 14:0	CAR 14:0
CAR 14:1	CAR 14:1
CAR 15:1	CAR 15:1
CAR 16:0	CAR 16:0
CAR 16:1	CAR 16:1
CAR 16:2	CAR 16:2
CAR 17:1	CAR 17:1
CAR 18:0	CAR 18:0
CAR 18:1	CAR 18:1
CAR 18:2	CAR 18:2
CAR 18:3	CAR 18:3
CAR 19:4	CAR 19:4
CAR 20:0	CAR 20:0
CAR 20:1	CAR 20:1
CAR 20:2	CAR 20:2
CAR 20:3	CAR 20:3
CAR 20:4	CAR 20:4
CAR 22:1	CAR 22:1
CAR 22:2	CAR 22:2
CAR 23:1	CAR 23:1
CAR 4:0	CAR 4:0
CAR 5:0	CAR 5:0
CAR 6:0	CAR 6:0
CAR 7:0	CAR 7:0
CAR 8:0	CAR 8:0
CAR 9:0	CAR 9:0
CE 18:1	CE 18:1
CE 18:2	CE 18:2
CE 18:3	CE 18:3
CE 20:4	CE 20:4
CE 20:5	CE 20:5
CE 22:6	CE 22:6
CL 62:1|CL 16:0_16:0_16:0_14:1	CL 62:1(x)|CL 16:0_16:0_16:0_14:1(x2)
CL 66:3|CL 16:0_16:1_16:1_18:1	CL 66:3(x)|CL 16:0_16:1_16:1_18:1(x2)
CL 66:4|CL 16:1_16:1_16:1_18:1	CL 66:4(x)|CL 16:1_16:1_16:1_18:1(x2)
CL 66:5|CL 16:1_16:1_16:1_18:2	CL 66:5(x)|CL 16:1_16:1_16:1_18:2(x2)
CL 66:5|CL 32:2_34:3	CL 66:5(x)|CL 32:2_34:3(x2)
CL 68:2|CL 16:0_18:1_16:0_18:1	CL 68:2(x)|CL 16:0_18:1_16:0_18:1(x2)
CL 68:3|CL 16:0_18:1_16:1_18:1	CL 68:3(x)|CL 16:0_18:1_16:1_18:1(x2)
CL 68:3|CL 34:1_34:2	CL 68:3(x)|CL 34:1_34:2(x2)
CL 68:4|CL 16:0_18:2_16:0_18:2	CL 68:4(x)|CL 16:0_18:2_16:0_18:2(x2)
CL 68:4|CL 34:1_34:3	CL 68:4(x)|CL 34:1_34:3(x2)
CL 68:5|CL 16:1_18:1_16:1_18:2	CL 68:5(x)|CL 16:1_18:1_16:1_18:2(x2)
CL 68:5|CL 34:2_34:3	CL 68:5(x)|CL 34:2_34:3(x2)
CL 68:6|CL 14:1_18:1_18:2_18:2	CL 68:6(x)|CL 14:1_18:1_18:2_18:2(x2)
CL 68:6|CL 16:1_18:2_16:1_18:2	CL 68:6(x)|CL 16:1_18:2_16:1_18:2(x2)
CL 68:6|CL 32:2_36:4	CL 68:6(x)|CL 32:2_36:4(x2)
CL 68:7|CL 14:1_18:2_18:2_18:2	CL 68:7(x)|CL 14:1_18:2_18:2_18:2(x2)
CL 68:7|CL 32:3_36:4	CL 68:7(x)|CL 32:3_36:4(x2)
CL 69:5|CL 15:0_18:2_18:1_18:2	CL 69:5(x)|CL 15:0_18:2_18:1_18:2(x2)
CL 69:6|CL 15:0_18:2_18:2_18:2	CL 69:6(x)|CL 15:0_18:2_18:2_18:2(x2)
CL 70:3|CL 37:1_33:2	CL 70:3(x)|CL 37:1_33:2(x2)
CL 70:4|CL 16:0_18:1_18:1_18:2	CL 70:4(x)|CL 16:0_18:1_18:1_18:2(x2)
CL 70:4|CL 34:1_36:3	CL 70:4(x)|CL 34:1_36:3(x2)
CL 70:5|CL 16:0_18:2_18:1_18:2	CL 70:5(x)|CL 16:0_18:2_18:1_18:2(x2)
CL 70:5|CL 16:1_18:1_18:1_18:2	CL 70:5(x)|CL 16:1_18:1_18:1_18:2(x2)
CL 70:5|CL 34:2_36:3	CL 70:5(x)|CL 34:2_36:3(x2)
CL 70:6|CL 16:1_18:1_18:2_18:2	CL 70:6(x)|CL 16:1_18:1_18:2_18:2(x2)
CL 70:6|CL 16:1_18:2_18:1_18:2	CL 70:6(x)|CL 16:1_18:2_18:1_18:2(x2)
CL 70:6|CL 34:3_36:3	CL 70:6(x)|CL 34:3_36:3(x2)
CL 70:7|CL 16:1_18:2_18:2_18:2	CL 70:7(x)|CL 16:1_18:2_18:2_18:2(x2)
CL 70:7|CL 34:3_36:4	CL 70:7(x)|CL 34:3_36:4(x2)
CL 70:8|CL 16:1_18:2_18:2_18:3	CL 70:8(x)|CL 16:1_18:2_18:2_18:3(x2)
CL 70:8|CL 34:3_36:5	CL 70:8(x)|CL 34:3_36:5(x2)
CL 70:8|CL 34:4_36:4	CL 70:8(x)|CL 34:4_36:4(x2)
CL 71:0|CL 17:0_18:0_18:0_18:0	CL 71:0(x)|CL 17:0_18:0_18:0_18:0(x2)
CL 71:1|CL 18:0_18:0_18:0_17:1	CL 71:1(x)|CL 18:0_18:0_18:0_17:1(x2)
CL 71:5|CL 17:1_18:1_18:1_18:2	CL 71:5(x)|CL 17:1_18:1_18:1_18:2(x2)
CL 71:6|CL 17:1_18:2_18:1_18:2	CL 71:6(x)|CL 17:1_18:2_18:1_18:2(x2)
CL 71:6|CL 35:3_36:3	CL 71:6(x)|CL 35:3_36:3(x2)
CL 71:7|CL 17:1_18:2_18:2_18:2	CL 71:7(x)|CL 17:1_18:2_18:2_18:2(x2)
CL 71:7|CL 35:3_36:4	CL 71:7(x)|CL 35:3_36:4(x2)
CL 71:8|CL 17:2_18:2_18:2_18:2	CL 71:8(x)|CL 17:2_18:2_18:2_18:2(x2)
CL 71:9|CL 16:0_16:1_18:2_21:6	CL 71:9(x)|CL 16:0_16:1_18:2_21:6(x2)
CL 72:10|CL 16:1_18:2_18:2_20:5	CL 72:10(x)|CL 16:1_18:2_18:2_20:5(x2)
CL 72:10|CL 18:2_18:2_18:3_18:3	CL 72:10(x)|CL 18:2_18:2_18:3_18:3(x2)
CL 72:4|CL 34:0_38:4	CL 72:4(x)|CL 34:0_38:4(x2)
CL 72:4|CL 37:1_35:3	CL 72:4(x)|CL 37:1_35:3(x2)
CL 72:5|CL 18:1_18:1_18:1_18:2	CL 72:5(x)|CL 18:1_18:1_18:1_18:2(x2)
CL 72:5|CL 36:2_36:3	CL 72:5(x)|CL 36:2_36:3(x2)
CL 72:6|CL 18:1_18:1_18:2_18:2	CL 72:6(x)|CL 18:1_18:1_18:2_18:2(x2)
CL 72:6|CL 18:1_18:2_18:1_18:2	CL 72:6(x)|CL 18:1_18:2_18:1_18:2(x2)
CL 72:6|CL 36:2_36:4	CL 72:6(x)|CL 36:2_36:4(x2)
CL 72:7|CL 18:1_18:2_18:2_18:2	CL 72:7(x)|CL 18:1_18:2_18:2_18:2(x2)
CL 72:7|CL 36:3_36:4	CL 72:7(x)|CL 36:3_36:4(x2)
CL 72:8|CL 18:2_18:2_18:2_18:2	CL 72:8(x)|CL 18:2_18:2_18:2_18:2(x2)
CL 72:8|CL 34:3_38:5	CL 72:8(x)|CL 34:3_38:5(x2)
