lipids	converted_lipid_name
ASG 28:2;O;Hex;FA 25:0	ASG 28:2(O)(Hex;FA 25:0)
BA 24:1;O4;T	BA 24:1(O4)(T)
BMP 36:3|BMP 18:1_18:2	BMP 36:3(m)|BMP 18:1_18:2(m2)
BMP 36:4|BMP 18:2_18:2	BMP 36:4(m)|BMP 18:2_18:2(m2)
BMP 40:7|BMP 18:1_22:6	BMP 40:7(m)|BMP 18:1_22:6(m2)
CAR 10:0	CAR 10:0
CAR 12:0	CAR 12:0
CAR 14:0	CAR 14:0
CAR 14:1	CAR 14:1
CAR 16:0	CAR 16:0
CAR 16:1	CAR 16:1
CAR 16:2	CAR 16:2
CAR 18:0	CAR 18:0
CAR 18:1	CAR 18:1
CAR 18:2	CAR 18:2
CAR 20:1	CAR 20:1
CAR 20:2	CAR 20:2
CAR 20:4	CAR 20:4
CAR 20:5	CAR 20:5
CAR 22:5	CAR 22:5
CAR 22:6	CAR 22:6
CAR 4:0	CAR 4:0
CE 15:2	CE 15:2
CL 68:6|CL 14:0_18:2_18:2_18:2	CL 68:6(m)|CL 14:0_18:2_18:2_18:2(m2)
CL 68:6|CL 16:1_18:2_16:1_18:2	CL 68:6(m)|CL 16:1_18:2_16:1_18:2(m2)
CL 70:4|CL 16:0_18:1_18:1_18:2	CL 70:4(m)|CL 16:0_18:1_18:1_18:2(m2)
CL 70:5|CL 16:0_18:2_18:1_18:2	CL 70:5(m)|CL 16:0_18:2_18:1_18:2(m2)
CL 70:6|CL 16:0_18:2_18:2_18:2	CL 70:6(m)|CL 16:0_18:2_18:2_18:2(m2)
CL 70:6|CL 16:1_18:2_18:1_18:2	CL 70:6(m)|CL 16:1_18:2_18:1_18:2(m2)
CL 70:6|CL 34:2_36:4	CL 70:6(m)|CL 34:2_36:4(m2)
CL 70:6|CL 34:3_36:3	CL 70:6(m)|CL 34:3_36:3(m2)
CL 70:7|CL 16:1_18:2_18:2_18:2	CL 70:7(m)|CL 16:1_18:2_18:2_18:2(m2)
CL 70:7|CL 34:3_36:4	CL 70:7(m)|CL 34:3_36:4(m2)
CL 72:5|CL 18:1_18:1_18:1_18:2	CL 72:5(m)|CL 18:1_18:1_18:1_18:2(m2)
CL 72:6|CL 18:1_18:2_18:1_18:2	CL 72:6(m)|CL 18:1_18:2_18:1_18:2(m2)
CL 72:6|CL 36:2_36:4	CL 72:6(m)|CL 36:2_36:4(m2)
CL 72:7|CL 18:1_18:2_18:2_18:2	CL 72:7(m)|CL 18:1_18:2_18:2_18:2(m2)
CL 72:7|CL 36:3_36:4	CL 72:7(m)|CL 36:3_36:4(m2)
CL 72:8|CL 18:2_18:2_18:2_18:2	CL 72:8(m)|CL 18:2_18:2_18:2_18:2(m2)
CL 72:8|CL 36:3_36:5	CL 72:8(m)|CL 36:3_36:5(m2)
CL 72:9|CL 18:2_18:2_18:2_18:3	CL 72:9(m)|CL 18:2_18:2_18:2_18:3(m2)
CL 72:9|CL 18:2_18:2_18:2_18:3	CL 72:9(m)|CL 18:2_18:2_18:2_18:3(m2)
CL 74:10|CL 18:2_18:2_18:2_20:4	CL 74:10(m)|CL 18:2_18:2_18:2_20:4(m2)
CL 74:10|CL 36:4_38:6	CL 74:10(m)|CL 36:4_38:6(m2)
CL 74:11|CL 34:3_40:8	CL 74:11(m)|CL 34:3_40:8(m2)
CL 74:7|CL 18:1_18:2_18:1_20:3	CL 74:7(m)|CL 18:1_18:2_18:1_20:3(m2)
CL 74:7|CL 36:3_38:4	CL 74:7(m)|CL 36:3_38:4(m2)
CL 74:8|CL 18:1_18:2_18:2_20:3	CL 74:8(m)|CL 18:1_18:2_18:2_20:3(m2)
CL 74:8|CL 18:1_18:2_18:2_20:3	CL 74:8(m)|CL 18:1_18:2_18:2_20:3(m2)
CL 74:8|CL 36:4_38:4	CL 74:8(m)|CL 36:4_38:4(m2)
